week_of,rank_col,n_picks,n_with_actual_data,n_top10_in_next_week,n_top10_in_2_weeks,n_top10_in_3_weeks,mean_capture_1wk,mean_capture_2wk,mean_capture_3wk,mean_capture_4wk,mean_peak_capture_3wk,n_rerank_next_week,mean_roundtrip_cost
2026-03-27,alpha_rank,10,0,0,0,0,,,,,,0,
2026-04-10,alpha_rank,10,10,0,0,0,0.04407,0.11524,0.19279,0.2212,0.20587,0,
2026-04-17,alpha_rank,10,10,0,0,0,-0.01128,0.01382,0.01818,0.00879,0.07677,0,
2026-04-24,alpha_rank,10,10,0,0,0,0.0556,0.14539,0.11097,0.21403,0.29455,0,
2026-05-01,alpha_rank,10,10,1,2,0,0.02523,-0.02983,-0.00113,0.04068,0.14406,1,-0.0114
2026-05-08,alpha_rank,10,10,1,0,0,0.00887,0.09551,0.1151,0.13376,0.28712,1,-0.03949
2026-05-15,alpha_rank,10,10,3,0,1,0.13837,0.23788,0.20317,0.26056,0.44072,3,-0.05042
2026-05-22,alpha_rank,10,10,0,1,0,-0.02458,-0.05472,0.00511,-0.05724,0.15891,0,
2026-05-29,alpha_rank,10,10,0,0,0,-0.04823,-0.06414,-0.07716,-0.02353,0.12428,0,
2026-04-17,composite_rank,10,10,0,0,0,-0.03275,-0.01833,0.01101,0.0079,0.0581,0,
2026-04-24,composite_rank,10,10,1,2,1,0.11314,0.17143,0.11381,0.19549,0.351,1,-0.10096
2026-05-01,composite_rank,10,10,1,1,2,0.00757,0.04869,0.09558,0.00455,0.24474,1,0.04059
2026-05-08,composite_rank,10,10,2,1,3,8e-05,0.04998,0.19038,0.07702,0.30304,2,0.02051
2026-05-15,composite_rank,10,10,3,0,0,0.1408,0.08529,0.02279,0.09556,0.31772,3,-0.03379
2026-05-22,composite_rank,10,10,0,2,2,-0.06325,-0.12922,-0.09632,-0.20689,0.11257,0,
2026-05-29,composite_rank,10,10,0,0,0,-0.0877,-0.09274,-0.08247,-0.09824,0.13168,0,
