symbol,name,exchange,sector,industry,last_price,avg_vol_20d,market_cap,history_days,gate_failures,as_of,sig_momentum_rs,sig_momentum_trend,sig_momentum_vol_surge,sig_momentum_breakout,sig_momentum,sig_catalyst_earnings,sig_catalyst_insider,sig_catalyst_analyst,sig_catalyst,days_until_earnings,sig_fund_growth,sig_fund_quality,sig_fund_profitability,sig_fund_value,sig_fundamentals,sig_sentiment_news,sig_sentiment_analyst,sig_sentiment_short,sig_sentiment_articles,sig_sentiment,sig_momentum_adj,sig_catalyst_adj,sig_fundamentals_adj,sig_sentiment_adj,sig_technicals_adj,signals_as_of
AGNC,AGNC Investment Corp.,NASDAQ,Real Estate,REIT - Mortgage,10.96,20416247.0,10979663914.743204,61.0,0.0,2026-08-15,0.6193,1.0,0.4032,0.9,0.7367,0.0,0.0,0.6969,0.1394,,0.4792,0.15,0.7203,0.3,0.4392,0.6708,0.5441,0.3,12.0,0.5709,0.08103700000000001,0.0069700000000000005,0.28372319999999995,0.0039963,0.48999999999999994,2026-08-15
UMC,United Microelectronics Corporation (NEW) Common Stock,NASDAQ,Technology,Semiconductors,19.15,14370931.0,30892855794.0,,0.0,2026-08-15,0.9726,0.5,0.2386,0.0093,0.5341,0.0,0.0,0.1,0.02,,0.7104,0.6,0.75,0.75,0.6967,0.7158,0.273,0.3,19.0,0.4984,0.05875100000000001,0.001,0.4500682,0.0034888000000000002,0.24499999999999997,2026-08-15
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,NASDAQ,Technology,Semiconductors,426.35,12735904.0,2087318499682.0,,0.0,2026-08-15,0.7543,0.6358,0.3207,0.6,0.6251,0.0,0.0,1.0,0.2,,0.9375,0.6,0.75,0.65,0.7775,0.7,0.7379,0.3,20.0,0.6533,0.068761,0.010000000000000002,0.502265,0.0045731,0.311542,2026-08-15
BMY,Bristol-Myers Squibb Company Common Stock,NASDAQ,Healthcare,Drug Manufacturers - General,63.83,12246341.0,119870286693.0,,0.0,2026-08-15,0.5939,1.0,0.6409,0.75,0.7289,0.0,0.0,0.7936,0.1587,,0.7648,0.55,0.75,0.45,0.6759,0.7281,0.5768,0.3,16.0,0.611,0.080179,0.007935000000000001,0.4366313999999999,0.004277,0.48999999999999994,2026-08-15
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,Communication Equipment,150.28,12128360.0,7548080508.92067,61.0,0.0,2026-08-15,0.9868,0.5,0.57,0.0,0.5868,0.0,0.0,1.0,0.2,,0.75,0.3,0.4456,0.75,0.5614,0.5,0.635,0.6,20.0,0.5622,0.06454800000000001,0.010000000000000002,0.3626644,0.003935400000000001,0.24499999999999997,2026-08-15
FRSH,Freshworks Inc.,NASDAQ,Technology,Software - Application,12.66,11337915.0,2265978113.1527567,61.0,0.0,2026-08-15,0.6548,1.0,0.2125,0.75,0.7011,0.0,0.0,1.0,0.2,,0.7875,0.55,0.6961,0.75,0.7015,0.7158,0.6204,0.6,19.0,0.665,0.077121,0.010000000000000002,0.45316900000000004,0.004655000000000001,0.48999999999999994,2026-08-15
VTRS,Viatris Inc. - Common Stock,NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,16.23,11190002.0,15684749955.0,,0.0,2026-08-15,0.7746,0.75,0.3832,0.6,0.6619,0.0,0.0,0.9933,0.1987,,0.489,0.55,0.6629,0.65,0.5638,0.775,0.5764,0.3,18.0,0.6342,0.07280900000000003,0.009935,0.36421479999999995,0.0044394000000000005,0.36749999999999994,2026-08-15
CLBK,"Columbia Financial, Inc.",NASDAQ,Financial Services,Banks - Regional,11.79,11171130.0,1124869564.0,62.0,0.0,2026-08-15,0.7838,1.0,0.6198,1.0,0.8495,0.0,0.0,1.0,0.2,,0.6654,0.5,0.6052,0.65,0.6075,0.7026,0.65,0.5,19.0,0.6538,0.09344500000000001,0.010000000000000002,0.39244500000000004,0.004576600000000001,0.48999999999999994,2026-08-15
MCHP,Microchip Technology Incorporated,NASDAQ,Technology,Semiconductors,79.17,11086599.0,33761440894.337128,61.0,0.0,2026-08-15,0.4701,0.5,0.6659,0.45,0.4988,0.0,0.0,1.0,0.2,,0.8125,0.55,0.7213,0.9,0.7328,0.7625,0.6711,0.3,20.0,0.6611,0.054868000000000014,0.010000000000000002,0.47338879999999994,0.004627700000000001,0.24499999999999997,2026-08-15
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares),NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,9.7,10754003.0,42618836087.0,,0.0,2026-08-15,0.3827,0.5,0.7742,0.6,0.5089,0.0,0.0,1.0,0.2,,0.5481,0.3,0.75,0.45,0.5268,0.7269,0.662,0.3,13.0,0.6402,0.05597900000000001,0.010000000000000002,0.3403128,0.004481400000000001,0.24499999999999997,2026-08-15
