Symbol,Security Name,Sector,Industry,Country,Market Cap
A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,33393702788.0
AA,Alcoa Corporation Common Stock ,Industrials,Aluminum,United States,18897831677.0
AAMI,Acadian Asset Management Inc. Common Stock,Finance,Investment Managers,United Kingdom,2398055990.0
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,United States,3450830698.0
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,1246849910.0
AAUC,Allied Gold Corporation Common Shares,,,,4006138000.0
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers,United States,3598167469.0
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,368756002263.0
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,United States,5648919977.0
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,Beverages (Production/Distribution),Brazil,48597860776.0
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States,3944624244.0
ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services,United States,2343068785.0
ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts,United States,1527561461.0
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,169332633326.0
ABX,Abacus Global Management Inc. Class A Common Stock,Finance,Investment Managers,United States,846191989.0
ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,,,United States,0.0
ACA,Arcosa Inc. Common Stock ,Industrials,Metal Fabrications,United States,5454361141.0
ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Publishing,United States,299376542.0
ACEL,Accel Entertainment Inc. ,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States,959301420.0
ACH,Accendra Health Inc. Common Stock,Health Care,Medical Specialities,United States,243836955.0
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace,United States,4541612421.0
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains,United States,8551514333.0
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical,United States,11153083149.0
ACN,Accenture plc Class A Ordinary Shares (Ireland),Real Estate,Real Estate,Ireland,128408996532.0
ACP,abrdn Income Credit Strategies Fund Common Shares,Finance,Investment Managers,United States,0.0
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate,Real Estate Investment Trusts,United States,140268757.0
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate,Real Estate Investment Trusts,United States,289019248.0
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services,United States,266638806.0
ACVA,ACV Auctions Inc. Class A Common Stock,Real Estate,Real Estate,United States,856432174.0
AD,Array Digital Infrastructure Inc. Common Shares,Telecommunications,Telecommunications Equipment,United States,4240095325.0
ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts,United States,9471433074.0
ADCT,ADC Therapeutics SA Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland,550624952.0
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,Packaged Foods,United States,32460453936.0
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.,United States,1640226075.0
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services,United States,5659282023.0
ADX,Adams Diversified Equity Fund Inc.,Finance,Investment Managers,United States,0.0
AEE,Ameren Corporation Common Stock,Utilities,Power Generation,United States,30924296820.0
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,,United States,0.0
AEG,Aegon Ltd. New York Registry Shares,Finance,Life Insurance,Netherlands,15433864873.0
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,Precious Metals,Canada,108333961479.0
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,3254322815.0
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services,Netherlands,26324800945.0
AERO,Grupo Aeromexico S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares),Consumer Discretionary,Air Freight/Delivery Services,,2294331107.0
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central,United States,10314581027.0
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),United States,1696944609.0
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,,,,0.0
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers,United States,10896352158.0
